,TARGET,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_WORK_PHONE,REGION_RATING_CLIENT,HOUR_APPR_PROCESS_START
100783,0,0,135000,180000,9000,180000,0.001333,-9543,-1327,-4287,-2184,0,3,11
100784,1,0,54000,1885500,74191.5,1885500,0.031329,-22181,365243,-14266,-4714,0,2,10
100785,0,0,67500,293535,18085.5,265500,0.007305,-21306,365243,-2144,-3248,0,3,8
100786,0,0,270000,265851,11839.5,229500,0.020713,-16625,-1890,-6371,-159,0,3,7
100787,0,0,270000,675000,28507.5,675000,0.035792,-16590,-2351,-183,-147,0,2,13
100788,0,0,112500,450000,47254.5,450000,0.026392,-10114,-996,-4888,-2767,0,2,19
100789,0,0,112500,813195,24786,702000,0.010556,-16329,-1048,-1187,-4819,0,3,11
100790,0,0,157500,339948,27387,315000,0.005144,-9365,-1172,-1451,-1969,0,2,14
100793,0,0,126000,808650,26217,675000,0.018634,-13037,-706,-2921,-1149,1,2,10
100794,0,0,49500,431280,18400.5,360000,0.031329,-21351,365243,-11095,-4795,0,2,8
100795,0,1,180000,963000,31194,963000,0.026392,-13778,-786,-6325,-2410,0,2,10
100796,1,0,405000,413235,32778,337500,0.00963,-19311,-514,-6886,-2846,0,2,14
100798,0,0,81000,454500,31761,454500,0.018209,-16658,-409,-4717,-210,0,3,10
100799,0,0,103500,886090.5,39159,792000,0.018029,-21411,-3997,-4434,-4439,0,3,6
100800,0,0,126000,698517,23215.5,603000,0.018634,-21314,365243,-2486,-4613,0,2,10
100801,0,0,112500,223884,26568,202500,0.025164,-9528,-183,-4391,-2194,0,2,9
100802,0,0,76500,499261.5,18949.5,351000,0.028663,-19169,-4275,-8207,-2730,0,2,10
100803,0,0,135000,679500,32818.5,679500,0.026392,-11847,-1035,-1561,-773,0,2,14
100804,0,2,157500,407727,32341.5,333000,0.018029,-12200,-733,-179,-2616,0,3,9
100805,0,0,270000,1098000,28962,1098000,0.028663,-11809,-1901,-5293,-4495,0,2,9
100806,0,0,247500,654498,26086.5,585000,0.006207,-18178,-744,-2278,-1361,0,2,11
100807,0,2,180000,675000,32602.5,675000,0.030755,-14014,-1629,-7148,-4575,0,2,11
100808,1,2,135000,640080,31261.5,450000,0.022625,-9904,-1116,-737,-2241,0,2,12
100809,0,0,112500,95940,10201.5,90000,0.010276,-18711,-1497,-9492,-2017,0,2,16
100810,0,2,540000,900000,45000,900000,0.018801,-12643,-770,-83,-4126,0,2,10
100811,0,0,180000,1649646,43645.5,1377000,0.022625,-20220,-296,-6628,-3643,0,2,16
100812,0,1,270000,274779,28287,261000,0.072508,-13706,-1405,-5867,-5497,0,1,12
100813,0,0,135000,635962.5,21865.5,549000,0.022625,-15069,-1302,-6538,-4116,0,2,14
100814,0,0,126000,942300,27679.5,675000,0.04622,-21704,-4110,-9701,-4831,0,1,12
100815,0,0,112500,225000,12694.5,225000,0.01885,-22725,365243,-8534,-4299,0,2,10
100816,1,0,157500,88884,4950,67500,0.022625,-22562,365243,-9173,-4536,0,2,10
100817,0,0,67500,364032,9733.5,288000,0.0105,-19335,-419,-10052,-2885,0,3,14
100818,0,0,225000,900000,46084.5,900000,0.028663,-11763,-1331,-4835,-3710,0,2,11
100819,0,0,279000,1520253,44581.5,1327500,0.009334,-20895,365243,-14964,-2644,0,2,11
100820,0,1,157500,808650,26217,675000,0.019101,-18007,-748,-7464,-1326,0,2,17
100821,0,0,180000,1468719,40387.5,1282500,0.031329,-21579,-926,-7641,-4786,0,2,8
100822,0,1,225000,616923,48870,558000,0.009175,-11653,-439,-2223,-4288,0,2,10
100824,0,0,112500,270000,13500,270000,0.008474,-16219,-1017,-2408,-1715,1,2,11
100838,0,0,81000,229500,12447,229500,0.015221,-16053,-1836,-1420,-4433,0,2,14
100839,1,0,180000,824823,29353.5,688500,0.025164,-16532,-1815,-101,-84,0,2,8
100840,1,0,135000,450000,30442.5,450000,0.04622,-14655,-239,-4822,-5181,1,1,9
100878,0,1,247500,835380,35523,675000,0.008019,-16851,-1310,-675,-390,0,2,12
100879,1,0,450000,1323000,47650.5,1323000,0.018209,-18740,-1369,-8719,-2232,0,3,10
100895,0,0,135000,675000,35964,675000,0.031329,-16054,-8026,-2992,-4389,1,2,10
100896,1,0,112500,1006920,44352,900000,0.035792,-13913,-1252,-3481,-4344,1,2,19
100900,0,0,67500,103855.5,8037,94500,0.019101,-17254,-796,-10541,-741,0,2,15
100901,0,1,81000,76500,7582.5,76500,0.028663,-15463,-687,-2238,-4023,1,2,8
100902,1,0,117000,770292,32764.5,688500,0.019689,-21838,365243,-12041,-510,0,2,14
100934,0,1,135000,180000,9000,180000,0.01885,-11649,-1015,-791,-2730,0,2,14
100935,0,0,225000,644427,27432,576000,0.005084,-12406,-960,-3726,-4258,1,2,18
100936,1,0,76500,390960,16695,337500,0.007274,-22167,365243,-12692,-3981,0,2,10
100937,0,0,270000,450000,22018.5,450000,0.01452,-14740,-249,-1199,-4373,0,2,11
100944,0,1,189000,1054935,44824.5,904500,0.020713,-11700,-404,-5582,-4012,0,3,6
100945,1,0,202500,1210500,39046.5,1210500,0.019689,-14702,-238,-8781,-4810,0,2,15
100960,0,0,135000,343800,16155,225000,0.04622,-14565,-1685,-2651,-4900,0,1,11
100961,0,0,81000,360000,11434.5,360000,0.00702,-12024,-992,-4951,-3317,0,2,12
100962,0,1,135000,787131,26145,679500,0.025164,-10534,-2287,-14,-3199,0,2,12
100963,1,0,112500,1002456,27009,810000,0.025164,-20527,-395,-11264,-4048,0,2,10
100964,0,0,112500,327024,16033.5,270000,0.022625,-12956,-63,-7051,-1774,0,2,16
100966,0,1,63000,47970,4873.5,45000,0.019689,-13465,-299,-20,-3207,1,2,9
100967,0,0,283500,1149210,33732,1003500,0.005313,-18493,-1625,-8321,-2025,0,2,13
100968,0,1,90000,1035832.5,30415.5,904500,0.035792,-11083,-1516,-4502,-1385,0,2,15
100969,0,0,216000,485640,39069,450000,0.072508,-8545,-213,-5,-1230,0,1,12
100971,1,1,180000,948582,33736.5,679500,0.072508,-11073,-233,-5166,-3479,0,1,13
100991,0,1,117000,474048,20214,360000,0.015221,-14601,-4174,-7156,-4329,0,2,8
100992,1,2,135000,203760,13396.5,180000,0.020713,-12755,-1453,-827,-619,1,3,12
100993,0,1,67500,765000,22495.5,765000,0.01452,-14276,-7508,-8418,-4533,0,2,12
100994,0,0,112500,888840,29376,675000,0.019689,-20071,-1689,-4870,-3351,0,2,12
100995,0,2,157500,450000,32877,450000,0.006296,-19860,-2303,-2763,-3377,0,3,14
100996,1,1,94500,675000,26154,675000,0.01885,-11952,-1087,-2429,-4622,1,2,19
101039,0,0,315000,1024740,55719,900000,0.030755,-16892,-102,-10616,-403,0,2,18
101040,0,1,157500,635962.5,28143,549000,0.025164,-23064,365243,-8983,-5081,0,2,8
101042,1,1,81000,521280,22959,450000,0.026392,-15181,-3002,-3299,-4081,1,2,9
101043,0,0,94500,74182.5,6075,67500,0.028663,-20186,365243,-7159,-3518,0,2,9
101063,1,2,202500,755190,38686.5,675000,0.006671,-13955,-165,-8058,-4244,1,2,16
101065,0,0,121500,370629,14103,306000,0.022625,-19517,-2105,-9019,-3027,0,2,17
101066,0,1,112500,405000,20677.5,405000,0.022625,-8880,-1579,-1261,-1518,1,2,18
101067,0,0,225000,450000,47880,450000,0.008068,-12093,-985,-3879,-4719,0,3,6
101072,0,0,180000,945000,31360.5,945000,0.026392,-17660,-6587,-5582,-1149,0,2,16
101073,1,0,540000,485640,44671.5,450000,0.008474,-14122,-1397,-6768,-2999,0,2,10
101074,0,0,173250,765261,39204,684000,0.030755,-15787,-5542,-3501,-2928,0,2,16
101075,0,0,121500,533668.5,37273.5,477000,0.072508,-16265,-2336,-2681,-4344,0,1,15
101076,1,0,126000,324216,25744.5,256500,0.008474,-16015,-2891,-1238,-4859,0,2,14
101077,0,0,202500,720000,46143,720000,0.026392,-16360,-1085,-7029,-2640,0,2,11
101086,0,0,135000,225000,23053.5,225000,0.018029,-8587,-942,-6214,-1192,0,3,13
101088,0,0,166500,225000,14377.5,225000,0.019101,-17650,-5086,-8574,-1189,1,2,18
101089,0,0,157500,562500,15786,562500,0.01885,-19642,-9868,-10528,-3193,1,2,17
101091,0,0,157500,1024740,52321.5,900000,0.014464,-20289,365243,-9834,-2464,0,2,11
101093,1,0,166500,152820,17370,135000,0.011703,-9082,-1247,-6104,-692,0,2,16
101094,0,0,112500,819432,23958,684000,0.028663,-23643,-3326,-1668,-4414,1,2,9
101095,0,0,67500,450000,19822.5,450000,0.0105,-21192,-10269,-10389,-4738,0,3,12
101096,1,0,112500,550980,35343,450000,0.018029,-8824,-757,-1314,-1386,0,3,6
101119,0,1,202500,350581.5,34150.5,333000,0.031329,-10128,-3090,-857,-2792,0,2,11
101120,0,0,225000,270000,13500,270000,0.026392,-15267,-1393,-1070,-2525,0,2,11
101121,1,2,180000,436032,20326.5,360000,0.002506,-15481,-207,-1897,-1833,1,2,1
101122,0,1,90000,640458,27265.5,517500,0.018029,-12198,-2058,-465,-3786,0,3,8
